Date,Total government revenue,Total Government expenditure,Deficit_Surplus,Deficit_Surplus_Pct
2020-07-01,183663700000,225812800000,-42149100000,-22.94906396854686
2020-10-01,254323600000,281170000000,-26846400000,-10.556000308268679
2021-01-01,175475000000,235505000000,-60030000000,-34.21000142470437
2021-04-01,213700000000,252498000000,-38798000000,-18.155357978474495
2021-07-01,205964000000,240403000000,-34439000000,-16.720883261152434
2021-10-01,273785000000,304120000000,-30335000000,-11.079861935460308
2022-01-01,190618000000,245113000000,-54495000000,-28.588590794153752
2022-04-01,232223000000,260249000000,-28026000000,-12.068572019136777
2022-07-01,222177000000,267429000000,-45252000000,-20.36754479536586
2022-10-01,290521000000,324777000000,-34256000000,-11.7912302380895
2023-01-01,204521000000,260404000000,-55883000000,-27.32384449518631
2023-04-01,242916000000,269388000000,-26472000000,-10.897594230104234
2023-07-01,236066000000,270460000000,-34394000000,-14.569654249235384
2023-10-01,312179000000,349713000000,-37534000000,-12.023230262125255
2024-01-01,214243000000,257156000000,-42913000000,-20.030059325158813
2024-04-01,249324000000,268808000000,-19484000000,-7.814731032712455
2024-07-01,246716000000,261343000000,-14627000000,-5.9286791290390575
2024-10-01,322584000000,321107000000,1477000000,0.45786523820152264
2025-01-01,222421000000,267342000000,-44921000000,-20.196384334213047
