FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,VALUATION,Valuation (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation,OBS_STATUS,Observation status,NOTE_REF_AREA,Territory (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregate (NOTE_DATA_TYPE_AGGR),NOTE_VALUATION,Valuation (NOTE_VALUATION),NOTE_ADJUSTMENT,Adjustment (NOTE_ADJUSTMENT),NOTE_EDITION,Edition (NOTE_EDITION),BASE_PER,Base year,UNIT_MEAS,Measure unit,UNIT_MULT,Multiplication unit
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,1998-Q4,61748.7,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,1999-Q1,56754.8,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,1999-Q2,62015.2,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,1999-Q3,56125.2,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,1999-Q4,64989.6,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,2000-Q1,63865,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,2000-Q2,68539.1,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,2000-Q3,61885.2,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,2000-Q4,69917,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
Q,Quarterly,IT,Italy,P51G_D_W0_S1,Gross fixed capital formation,V,Current prices,N,Raw data,2025M10,Oct-2025,2001-Q1,67704.9,,,,,,,VAL__V_N1,Current prices:they reflect the value of a product at prices of the current reporting period.,CORREZ__N_N1,Raw data:present infra annual fluctuations due to seasonal factors and are also influenced by the different calendar composition of the reference period.,,,,,EURO,Euro,6,Millions
