FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Observation,OBS_STATUS,Observation status
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2018-02,101.5,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2018-03,101.8,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2018-04,101.9,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2018-05,102.2,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2018-06,102.4,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2018-07,102.7,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2018-08,103.1,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2018-09,102.6,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2018-10,102.6,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2018-11,102.4,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2018-12,102.3,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2019-01,102.4,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2019-02,102.5,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2019-03,102.8,,
M,Monthly,IT,Italy,39,Consumer price index for the whole nation (base 2015=100) - monthly data,4,Index number,00,All items,2019-04,103,,
